Concentrate_ID	1	2	3	4	5	6	7	8	9	10	11	12
1	916	916	916	916	916	916	916	916	916	916	916	916
1	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3
1	18	18	18	18	18	18	18	18	18	18	18	18
1	8.8	8.8	8.8	8.8	8.8	8.8	8.8	8.8	8.8	8.8	8.8	8.8
1	276	276	276	276	276	276	276	276	276	276	276	276
1	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2
1	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71
1	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33
1	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
1	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06
1	425	425	425	425	425	425	425	425	425	425	425	425
2	898	898	898	898	898	898	898	898	898	898	898	898
2	9	9	9	9	9	9	9	9	9	9	9	9
2	18	18	18	18	18	18	18	18	18	18	18	18
2	9	9	9	9	9	9	9	9	9	9	9	9
2	124.67	124.67	124.67	124.67	124.67	124.67	124.67	124.67	124.67	124.67	124.67	124.67
2	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
2	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69
2	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33
2	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
2	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06
2	58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5
3	863 863 863	863 863 863 863 863 863 863 863 863
3   7   7   7   7   7   7   7   7   7   7   7   7   
3	17.2    17.2    17.2    17.2    17.2    17.2    17.2    17.2    17.2    17.2    17.2    17.2
3	7   7   7   7   7   7   7   7   7   7   7   7  
3	64.3    64.3   64.3   64.3   64.3   64.3   64.3   64.3   64.3   64.3   64.3   64.3   
3	1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 
3	0.55    0.55    0.55    0.55    0.55    0.55    0.55    0.55    0.55    0.55    0.55    0.55    
3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
3	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
3	0.12    0.12    0.12    0.12    0.12    0.12    0.12    0.12    0.12    0.12    0.12    0.12    
3	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	
