Forage_id	1	2	3	4	5	6	7	8	9	10	11	12
1	940	940	940	940	940	940	940	940	940	940	940	940
1	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4
1	16.4	16.4	16.4	16.4	16.4	16.4	16.4	16.4	16.4	16.4	16.4	16.4
1	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4
1	137.5	137.5	137.5	137.5	137.5	137.5	137.5	137.5	137.5	137.5	137.5	137.5
1	2	2	2	2	2	2	2	2	2	2	2	2
1	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73
1	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
1	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42
1	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
1	380	380	380	380	380	380	380	380	380	380	380	380
2	940	940	940	940	940	940	940	940	940	940	940	940
2	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6
2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2
2	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6
2	105.2	105.2	105.2	105.2	105.2	105.2	105.2	105.2	105.2	105.2	105.2	105.2
2	2	2	2	2	2	2	2	2	2	2	2	2
2	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65
2	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24
2	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67
2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
2	400	400	400	400	400	400	400	400	400	400	400	400
3	863	863	863	863	863	863	863	863	863	863	863	863
3	7	7	7	7	7	7	7	7	7	7	7	7
3	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2
3	7	7	7	7	7	7	7	7	7	7	7	7
3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3
3	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5
3	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55
3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
3	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
3	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
3	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5
4	864	864	864	864	316.6	316.6	316.6	316.6	674.9	674.9	674.9	674.9
4	6.75	6.75	6.75	6.75	7.1	7.1	7.1	7.1	6.87	6.87	6.87	6.87
4	18	18	18	18	18	18	18	18	18	18	18	18
4	6.85	6.85	6.85	6.85	6.85	6.85	6.85	6.85	6.85	6.85	6.85	6.85
4	54.8	53.3	52.6	52.8	88.9	87.5	79.65	70.25	64.6	59.9	57.7	57.3
4	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17
4	0.43	0.41	0.4	0.4	0.68	0.68	0.62	0.57	0.52	0.49	0.48	0.46
4	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
4	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
4	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
4	1	1	1	1	1	1	1	1	1	1	1	1
5	807	807	807	807	385	385	385	385	620.3	620.3	620.3	620.3
5	6.75	6.75	6.75	6.75	7	7	7	7	6.8	6.8	6.8	6.8
5	18	18	18	18	18	18	18	18	18	18	18	18
5	6.86	6.86	6.86	6.86	6.86	6.86	6.86	6.86	6.86	6.86	6.86	6.86
5	55.2	53.8	51.1	51	87.25	87.25	78.95	68.95	62.4	59.3	57.3	56.6
5	1.19	1.19	1.19	1.19	1.19	1.19	1.19	1.19	1.19	1.19	1.19	1.19
5	0.41	0.4	0.4	0.4	0.67	0.66	0.62	0.56	0.5	0.48	0.47	0.45
5	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
5	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
5	0	0	0	0	0	0	0	0	0	0	0	0
6	863	863	863	863	863	863	863	863	863	863	863	863
6	7	7	7	7	7	7	7	7	7	7	7	7
6	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2
6	7	7	7	7	7	7	7	7	7	7	7	7
6	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3
6	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5
6	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55
6	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
6	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
6	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5
