Forage_id	1	2	3	4	5	6	7	8	9	10	11	12
1	940	940	940	940	940	940	940	940	940	940	940	940
1	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4
1	16.4	16.4	16.4	16.4	16.4	16.4	16.4	16.4	16.4	16.4	16.4	16.4
1	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4
1	137.5	137.5	137.5	137.5	137.5	137.5	137.5	137.5	137.5	137.5	137.5	137.5
1	2	2	2	2	2	2	2	2	2	2	2	2
1	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73
1	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
1	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42
1	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
1	380	380	380	380	380	380	380	380	380	380	380	380
2	940	940	940	940	940	940	940	940	940	940	940	940
2	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6
2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2
2	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.6
2	105.2	105.2	105.2	105.2	105.2	105.2	105.2	105.2	105.2	105.2	105.2	105.2
2	2	2	2	2	2	2	2	2	2	2	2	2
2	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65
2	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24
2	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67
2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
2	400	400	400	400	400	400	400	400	400	400	400	400
3	863	863	863	863	863	863	863	863	863	863	863	863
3	6.6	6.6	6.6	6.6	6.6	6.6	6.6	6.6	7	7	7	7
3	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2
3	6.6	6.6	6.6	6.6	6.6	6.6	6.6	6.6	7	7	7	7
3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3
3	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5
3	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.55	0.55	0.55	0.55
3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
3	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
3	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
3	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5
4	864	864	864	864	316.6	316.6	316.6	316.6	674.9	674.9	674.9	674.9
4	7.12	6.79	6.62	6.62	9.52	9.52	8.68	7.98	7.94	7.64	7.64	7.32
4	18	18	18	18	18	18	18	18	18	18	18	18
4	7.12	6.79	6.62	6.62	9.52	9.52	8.68	7.98	7.94	7.64	7.64	7.32
4	71.24	69.29	68.38	68.34	97.79	86.25	87.62	77.28	77.52	73.38	72.13	71.63
4	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17
4	0.559	0.533	0.52	0.52	0.748	0.748	0.682	0.627	0.624	0.6	0.6	0.575
4	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
4	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
4	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
4	1	1	1	1	1	1	1	1	1	1	1	1
5	807	807	807	807	385	385	385	385	620.3	620.3	620.3	620.3
5	6.79	6.62	6.62	6.62	9.38	9.24	8.68	7.84	7.64	7.64	7.48	7.16
5	18	18	18	18	18	18	18	18	18	18	18	18
5	6.79	6.62	6.62	6.62	9.38	9.24	8.68	7.84	7.64	7.64	7.48	7.16
5	69	67.25	63.88	63.75	95.98	95.98	86.85	75.85	74.88	74.13	71.63	70.75
5	1.19	1.19	1.19	1.19	1.19	1.19	1.19	1.19	1.19	1.19	1.19	1.19
5	0.533	0.52	0.52	0.52	0.737	0.726	0.682	0.616	0.6	0.6	0.588	0.563
5	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
5	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
5	1	1	1	1	1	1	1	1	1	1	1	1
6	863	863	863	863	863	863	863	863	863	863	863	863
6	6.6	6.6	6.6	6.6	6.6	6.6	6.6	6.6	7	7	7	7
6	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2	17.2
6	6.6	6.6	6.6	6.6	6.6	6.6	6.6	6.6	7	7	7	7
6	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3	64.3
6	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5
6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.55	0.55	0.55	0.55
6	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
6	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
6	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5	408.5
