ID	Parity	Treatment	month	DM	ME	GE	FME	CP	ADIN	DMD	a	b	c	NDF
2288	1	1	1	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	2	1	2	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	3	1	3	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	4	1	4	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	5	1	5	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	6	1	6	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	7	1	7	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	8	1	8	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	9	1	9	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	10	1	10	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	11	1	11	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	12	1	12	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	13	1	13	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	14	1	14	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	15	1	15	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	16	1	16	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	17	1	17	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	18	1	18	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	19	1	19	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	20	1	20	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	21	1	21	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	22	1	22	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	23	1	23	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	24	1	24	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	25	1	25	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	26	1	26	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	1	1	1	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	2	1	2	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	3	1	3	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	4	1	4	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	5	1	5	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	6	1	6	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	7	1	7	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	8	1	8	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	9	1	9	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	10	1	10	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	11	1	11	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	12	1	12	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	13	1	13	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	14	1	14	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	15	1	15	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	16	1	16	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	17	1	17	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2288	18	1	18	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2297	1	3	1	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	2	3	2	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	3	3	3	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	4	3	4	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	5	3	5	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	6	3	6	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	7	3	7	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	8	3	8	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	9	3	9	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	10	3	10	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	11	3	11	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	12	3	12	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	13	3	13	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	14	3	14	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	1	3	1	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	2	3	2	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	3	3	3	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	4	3	4	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	5	3	5	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	6	3	6	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	7	3	7	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	8	3	8	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	9	3	9	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	10	3	10	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	11	3	11	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	1	3	1	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	2	3	2	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	3	3	3	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	4	3	4	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	5	3	5	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	6	3	6	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	7	3	7	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
