ID	Parity	Treatment	month	Offer1	Offer2
2288	1	1	1	140.2016129	55.29354839
2288	1	1	2	122.5446429	48.0375
2288	1	1	3	123.3774194	47.12741935
2288	1	1	4	121.8983333	47.07166667
2288	1	1	5	120.2290323	47.02903226
2288	1	1	6	117.5266667	45.75
2288	1	1	7	118.95	45.75
2288	1	1	8	115.1129032	44.37258065
2288	1	1	9	113.155	43.005
2288	1	1	10	115.8016129	45.6516129
2288	1	1	11	116.51	45.75
2288	1	1	12	120.6225806	45.75
2288	1	1	13	121.016129	45.94677419
2288	1	1	14	119.4758621	45.75
2288	1	1	15	122.7870968	48.50483871
2288	1	1	16	120.475	45.85166667
2288	1	1	17	119.3435484	45.75
2288	1	1	18	122	45.75
2288	1	1	19	119.7370968	45.75
2288	1	1	20	118.95	45.75
2288	1	1	21	119.0516667	45.75
2288	1	1	22	122.7870968	46.14354839
2288	1	1	23	128.1	48.8
2288	1	1	24	131.2483871	51.06290323
2288	1	1	25	136.7580645	51.85
2288	1	1	26	138.5571429	53.15714286
2288	2	1	1	129.5758065	50.17741935
2288	2	1	2	109.8	42.7
2288	2	1	3	110.3903226	42.7
2288	2	1	4	115.1883333	45.03833333
2288	2	1	5	115.9	45.75
2288	2	1	6	114.5225806	44.37258065
2288	2	1	7	114.68	44.32666667
2288	2	1	8	117.0806452	45.75
2288	2	1	9	117.3233333	45.75
2288	2	1	10	118.2612903	45.75
2288	2	1	11	118.95	45.75
2288	2	1	12	124.8321429	48.69107143
2288	2	1	13	121.9016129	45.8483871
2288	2	1	14	119.3566667	45.75
2288	2	1	15	120.6225806	46.43870968
2288	2	1	16	121.085	46.46166667
2288	2	1	17	120.1306452	45.75
2288	2	1	18	122	45.75
2297	1	3	1	223.4125	86.48928571
2297	1	3	2	187.033871	73.2
2297	1	3	3	181.8816667	70.35333333
2297	1	3	4	183.2951613	70.15
2297	1	3	5	180.7633333	68.72666667
2297	1	3	6	183.4919355	70.15
2297	1	3	7	182.7048387	70.15
2297	1	3	8	184.7283333	71.57333333
2297	1	3	9	184.3774194	70.15
2297	1	3	10	185.2366667	71.98
2297	1	3	11	191.166129	73.2
2297	1	3	12	197.4629032	76.54516129
2297	1	3	13	206.9793103	79.3
2297	1	3	14	212.9096774	82.05483871
2297	2	3	1	209.23	79.605
2297	2	3	2	187.6241935	72.80645161
2297	2	3	3	181.9833333	70.15
2297	2	3	4	182.1145161	70.15
2297	2	3	5	181.3274194	70.15
2297	2	3	6	178.3233333	68.625
2297	2	3	7	176.4080645	67.49354839
2297	2	3	8	183	70.15
2297	2	3	9	187.033871	72.41290323
2297	2	3	10	198.4467742	75.75806452
2297	2	3	11	200.4285714	77.12142857
2297	3	3	1	128.4935484	50.27580645
2297	3	3	2	119.9666667	45.75
2297	3	3	3	117.0806452	45.35645161
2297	3	3	4	116.0016667	45.03833333
2297	3	3	5	120.3274194	45.75
2297	3	3	6	150.2370968	57.8516129
2297	3	3	7	144.7733333	54.9
2297	3	3	8	143.8419355	54.9
2297	3	3	9	145.6883333	56.32333333
2297	3	3	10	145.1209677	56.27741935
2297	3	3	11	142.9564516	54.9
2297	3	3	12	153.1535714	59.14821429
2297	3	3	13	170.8983871	65.62419355
2297	3	3	14	177.51	68.93
2297	3	3	15	183.3935484	70.15
2297	3	3	16	190.93	73.40333333
2297	3	3	17	199.9225806	77.43064516
